0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,,,,na A,,,,na,,lami-,,,
,Código e descrição do alimento,,Código e descrição da preparação,nol,,,na,vina,na,,xina,,(DFE),na D,na E
,,,,,,(RAE),,,,(NE),,na,,,
,,,,(mcg),,,(mg),(mg),(mg),,(mg),,(mcg),(mcg),(mg)
,,,,,,(mcg),,,,(mg),,(mcg),,,
7100205,Bisteca bovina,8,Molho vermelho,,-,"3,48","0,05","0,13","2,16","4,08","0,20","2,10","6,20","0,48","0,52"
7100301,Alcatra,1,Cru(a),,-,-,"0,07","0,16","5,36","8,73","0,40","1,71","10,00","0,60","0,43"
7100301,Alcatra,2,Cozido(a),,-,-,"0,07","0,16","5,36","8,73","0,40","1,71","10,00","0,60","0,43"
7100301,Alcatra,3,Grelhado(a)/brasa/churrasco,,-,-,"0,07","0,16","5,36","8,73","0,40","1,71","10,00","0,60","0,43"
7100301,Alcatra,4,Assado(a),,-,-,"0,07","0,16","5,36","8,73","0,40","1,71","10,00","0,60","0,43"
7100301,Alcatra,5,Frito(a),,-,-,"0,07","0,16","5,36","8,73","0,40","1,71","10,00","0,60","0,89"
7100301,Alcatra,6,Empanado(a)/à milanesa,,-,-,"0,07","0,16","5,36","8,73","0,40","1,71","10,00","0,60","0,89"
7100301,Alcatra,7,Refogado(a),,-,-,"0,07","0,16","5,36","8,73","0,40","1,71","10,00","0,60","0,89"
7100301,Alcatra,8,Molho vermelho,,-,"3,48","0,06","0,14","4,48","7,21","0,34","1,37","10,20","0,48","0,63"
7100301,Alcatra,12,Ao vinagrete,,-,-,"0,07","0,16","5,36","8,73","0,40","1,71","10,00","0,60","0,43"
7100301,Alcatra,13,Ensopado,,-,-,"0,07","0,16","5,36","8,73","0,40","1,71","10,00","0,60","0,89"
7100303,Maminha,3,Grelhado(a)/brasa/churrasco,,-,-,"0,07","0,25","3,81","7,76","0,28","2,70","9,00","0,70","0,14"
7100303,Maminha,4,Assado(a),,-,-,"0,07","0,25","3,81","7,76","0,28","2,70","9,00","0,70","0,14"
7100303,Maminha,5,Frito(a),,-,-,"0,07","0,25","3,81","7,76","0,28","2,70","9,00","0,70","0,60"
7100303,Maminha,8,Molho vermelho,,-,"3,48","0,06","0,21","3,24","6,44","0,24","2,16","9,40","0,56","0,40"
7100304,Picanha,2,Cozido(a),,-,-,"0,07","0,16","5,36","8,73","0,40","1,71","10,00","0,60","0,43"
7100304,Picanha,3,Grelhado(a)/brasa/churrasco,,-,-,"0,07","0,16","5,36","8,73","0,40","1,71","10,00","0,60","0,43"
7100304,Picanha,4,Assado(a),,-,-,"0,07","0,16","5,36","8,73","0,40","1,71","10,00","0,60","0,43"
7100304,Picanha,5,Frito(a),,-,-,"0,07","0,16","5,36","8,73","0,40","1,71","10,00","0,60","0,89"
7100304,Picanha,13,Ensopado,,-,-,"0,07","0,16","5,36","8,73","0,40","1,71","10,00","0,60","0,89"
7100501,Patinho,2,Cozido(a),,-,-,"0,07","0,25","3,81","7,76","0,28","2,70","9,00","0,70","0,14"
7100501,Patinho,3,Grelhado(a)/brasa/churrasco,,-,-,"0,07","0,25","3,81","7,76","0,28","2,70","9,00","0,70","0,14"
7100501,Patinho,4,Assado(a),,-,-,"0,07","0,25","3,81","7,76","0,28","2,70","9,00","0,70","0,14"
7100501,Patinho,5,Frito(a),,-,-,"0,07","0,25","3,81","7,76","0,28","2,70","9,00","0,70","0,60"
7100501,Patinho,6,Empanado(a)/à milanesa,,-,-,"0,07","0,25","3,81","7,76","0,28","2,70","9,00","0,70","0,60"
7100501,Patinho,8,Molho vermelho,,-,"3,48","0,06","0,21","3,24","6,44","0,24","2,16","9,40","0,56","0,40"
7100501,Patinho,13,Ensopado,,-,-,"0,07","0,25","3,81","7,76","0,28","2,70","9,00","0,70","0,60"
7100502,Cabeça de lombo (carne bovina),2,Cozido(a),,-,-,"0,07","0,25","3,81","7,76","0,28","2,70","9,00","0,70","0,14"
7100502,Cabeça de lombo (carne bovina),3,Grelhado(a)/brasa/churrasco,,-,-,"0,07","0,25","3,81","7,76","0,28","2,70","9,00","0,70","0,14"
7100502,Cabeça de lombo (carne bovina),4,Assado(a),,-,-,"0,07","0,25","3,81","7,76","0,28","2,70","9,00","0,70","0,14"
7100502,Cabeça de lombo (carne bovina),5,Frito(a),,-,-,"0,07","0,25","3,81","7,76","0,28","2,70","9,00","0,70","0,60"
7100502,Cabeça de lombo (carne bovina),6,Empanado(a)/à milanesa,,-,-,"0,07","0,25","3,81","7,76","0,28","2,70","9,00","0,70","0,60"
7100502,Cabeça de lombo (carne bovina),7,Refogado(a),,-,-,"0,07","0,25","3,81","7,76","0,28","2,70","9,00","0,70","0,60"
