0,1,2,3,4,5,6,7,8,9,10,11,12
,,,Cálcio,,,Fósforo,Ferro,Sódio,de,,,Zinco
Código e descrição do alimento,,Código e descrição da preparação,,nésio,ganês,,,,,sio,bre,
,,,(mg),,,(mg),(mg),(mg),adição,,,(mg)
,,,,(mg),(mg),,,,,(mg),(mg),
,,,,,,,,,(mg),,,
,3,Grelhado(a)/brasa/churrasco,"88,00","5,00","0,02","83,00","0,91","67,00","333,00","31,00","0,10","0,69"
,4,Assado(a),"88,00","5,00","0,02","83,00","0,91","67,00","333,00","31,00","0,10","0,69"
,5,Frito(a),"88,00","5,00","0,02","83,00","0,91","67,00","333,00","31,00","0,10","0,69"
,7,Refogado(a),"88,00","5,00","0,02","83,00","0,91","67,00","333,00","31,00","0,10","0,69"
,8,Molho vermelho,"73,00","7,20","0,03","71,60","0,93","158,40","333,00","91,00","0,11","0,59"
,13,Ensopado,"88,00","5,00","0,02","83,00","0,91","67,00","333,00","31,00","0,10","0,69"
,2,Cozido(a),"11,00","25,00","0,36","405,00","11,63","76,00","333,00","263,00","0,50","3,98"
,4,Assado(a),"11,00","25,00","0,36","405,00","11,63","76,00","333,00","263,00","0,50","3,98"
,5,Frito(a),"11,00","25,00","0,36","405,00","11,63","76,00","333,00","263,00","0,50","3,98"
,8,Molho vermelho,"11,40","23,20","0,31","329,20","9,51","165,60","333,00","276,60","0,42","3,22"
,15,Sopa,"5,22","3,26","0,08","18,48","0,24","343,65",-,"37,02","0,03","0,15"
,2,Cozido(a),"17,00","3,00","0,07","189,00","3,19","56,00","333,00","179,00","0,16","4,42"
,3,Grelhado(a)/brasa/churrasco,"17,00","3,00","0,07","189,00","3,19","56,00","333,00","179,00","0,16","4,42"
,5,Frito(a),"17,00","3,00","0,07","189,00","3,19","56,00","333,00","179,00","0,16","4,42"
,7,Refogado(a),"17,00","3,00","0,07","189,00","3,19","56,00","333,00","179,00","0,16","4,42"
,8,Molho vermelho,"16,20","5,60","0,08","156,40","2,76","149,60","333,00","209,40","0,15","3,58"
,9,Molho branco,"36,48","4,71","0,07","170,89","2,62","65,72","333,00","173,25","0,13","3,63"
,13,Ensopado,"17,00","3,00","0,07","189,00","3,19","56,00","333,00","179,00","0,16","4,42"
,15,Sopa,"5,22","3,26","0,08","18,48","0,24","343,65",-,"37,02","0,03","0,15"
,2,Cozido(a),"19,00","20,00","0,11","199,00","9,03","48,00","333,00","132,00","0,50","7,30"
,3,Grelhado(a)/brasa/churrasco,"19,00","20,00","0,11","199,00","9,03","48,00","333,00","132,00","0,50","7,30"
,4,Assado(a),"19,00","20,00","0,11","199,00","9,03","48,00","333,00","132,00","0,50","7,30"
,5,Frito(a),"19,00","20,00","0,11","199,00","9,03","48,00","333,00","132,00","0,50","7,30"
,13,Ensopado,"19,00","20,00","0,11","199,00","9,03","48,00","333,00","132,00","0,50","7,30"
,2,Cozido(a),"11,00","25,00","0,36","405,00","11,63","76,00","333,00","263,00","0,50","3,98"
,4,Assado(a),"11,00","25,00","0,36","405,00","11,63","76,00","333,00","263,00","0,50","3,98"
,5,Frito(a),"11,00","25,00","0,36","405,00","11,63","76,00","333,00","263,00","0,50","3,98"
,99,Não se aplica,"5,22","3,26","0,08","18,48","0,24","343,65",-,"37,02","0,03","0,15"
,2,Cozido(a),"21,50","22,00","0,02","172,00","1,64","68,00","333,00","224,50","0,09","2,68"
,4,Assado(a),"21,50","22,00","0,02","172,00","1,64","68,00","333,00","224,50","0,09","2,68"
,5,Frito(a),"21,50","22,00","0,02","172,00","1,64","68,00","333,00","224,50","0,09","2,68"
,13,Ensopado,"21,50","22,00","0,02","172,00","1,64","68,00","333,00","224,50","0,09","2,68"
,1,Cru(a),"15,00","28,00","0,03","216,00","1,57","56,00","333,00","277,00","0,09","2,08"
